"database_name","search_path","verified_at","verification_mode","source_type","db_name","source_db_name","lyfo_db_name","same_db_as_lyfo","cross_db_join_required","cross_db_join_available","schema","table","patientid_column","birth_date_column","age_column","age_semantics","has_patientid","has_birth_date_like","has_age_like","has_mcl_subtype","numeric_age_plausible","candidate_score","selected","reason","usable_for_age_counts","relation_probe_attempted","relation_probe_success","relation_probe_error_sanitized","column_probe_attempted","column_probe_success","column_probe_error_sanitized","co_residency_probe_attempted","co_residency_probe_success","co_residency_probe_error_sanitized","numeric_probe_attempted","numeric_probe_success","numeric_probe_error_sanitized","deterministic_tie_break_requires_review","post_selection_execution_attempted","post_selection_execution_success","post_selection_execution_error_sanitized","notes"
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_DaMyDa","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_DaMyDa_20240212","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","lyfo_age_fallback","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO","patientid","","org_Aars_sor","ambiguous_age",TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,"rejected_ambiguous_age_semantics",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","LYFO age fallback candidates must be numeric, plausibly bounded, and clearly anchored to diagnosis, registration, or treatment."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","lyfo_age_fallback","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO","patientid","","Reg_Lokal_Taarekirtel","age_at_registration",TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,"relation_probe_failed",FALSE,TRUE,FALSE,"Failed to prepare query : ERROR: permission denied for schema _20241204 LINE 2: from ""_20241204"".""RKKP_LYFO"" ^",FALSE,FALSE,"",FALSE,TRUE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","LYFO age fallback candidates must be numeric, plausibly bounded, and clearly anchored to diagnosis, registration, or treatment."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","lyfo_age_fallback","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO","patientid","","FU_Doedsaarsag","current_or_followup_age",TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,"rejected_current_or_followup_age",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"","LYFO age fallback candidates must be numeric, plausibly bounded, and clearly anchored to diagnosis, registration, or treatment."
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO_20240209","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO_EXTRA","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","RKKP_LYFO_RAW_20230504","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
"core","""$user"", public","2026-05-22T20:23:15+0200","production_information_schema","discovered_patient_demographics_birth_date","import","import","import",TRUE,FALSE,FALSE,"_20241204","t_dalycare_diagnoses","patientid","","","",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"missing_required_age_source_column",FALSE,FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,"",FALSE,FALSE,FALSE,"",""
